Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
320390805000026;1;1048;7;9;16;25;20;12;16;29;15;23;25;23;25;25;21;25;27;36;21;24;21;25;21;19;21;19;21;19;23;22;24;13;14;19;19;30;17;14;18;14;19;18;18;12;15;11;12;13;8;10;2;8;5;4;3;1;6;6;6;4;6;5;3;5;3;2;4;4;0;0;1;4;0;0;2;11;354;237;301;12;22;8;30;5;
320390805000027;8;658;3;6;14;16;13;22;14;31;16;20;16;17;15;15;9;8;6;11;15;7;9;14;8;14;6;10;9;13;11;14;13;16;8;19;10;12;11;10;11;12;10;9;8;7;8;9;6;7;7;7;9;4;8;10;2;5;2;1;3;3;5;5;1;1;1;2;0;0;0;1;1;1;2;0;2;7;202;169;200;4;11;7;10;3;
320390805000028;8;338;0;4;6;6;5;7;3;12;6;10;11;9;9;12;12;5;1;2;4;3;6;6;4;7;5;12;3;4;8;3;12;8;6;11;5;4;12;3;6;8;4;6;2;9;3;2;4;4;3;4;2;3;4;2;2;1;3;3;0;2;5;0;4;0;2;1;1;0;0;0;0;0;1;0;0;1;91;81;119;5;3;7;8;0;
320390805000029;8;564;8;10;3;10;13;8;10;7;11;18;15;18;17;13;10;14;10;9;18;15;7;6;11;3;3;8;11;8;5;9;10;10;9;8;10;9;10;8;8;7;8;10;10;16;6;9;10;6;4;9;3;6;5;6;3;9;2;6;4;2;2;4;3;3;6;3;2;1;0;0;1;1;0;0;0;7;165;142;184;5;7;6;7;2;
320390805000030;8;56;0;0;1;1;1;1;5;0;1;0;0;0;2;1;0;0;0;0;2;1;0;0;1;2;1;0;2;1;1;1;3;1;0;2;1;0;1;1;1;0;1;0;1;1;1;1;0;2;2;0;1;0;2;2;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;21;15;14;2;0;0;1;0;
320390805000031;8;551;5;13;12;7;13;11;16;10;11;19;12;9;11;16;9;9;11;10;10;15;7;10;8;8;12;7;7;5;14;5;5;5;11;16;7;12;8;3;11;9;10;7;8;5;8;7;5;5;6;6;12;6;4;8;6;5;3;4;6;0;2;1;2;1;5;2;2;2;0;1;1;2;2;1;0;7;152;127;193;2;8;7;5;5;
320390805000032;8;437;3;5;11;13;13;6;7;11;9;8;3;5;7;5;6;9;7;3;11;10;9;8;9;9;14;10;4;9;7;8;8;12;4;7;7;5;8;4;7;7;5;5;7;9;1;3;3;6;7;7;5;8;2;6;5;3;2;3;2;2;4;1;3;3;4;1;4;1;0;4;2;2;1;1;1;6;158;107;81;18;5;14;7;1;
320390805000033;5;180;3;5;3;3;4;5;2;5;2;6;1;7;3;5;1;4;1;4;6;0;7;2;2;4;3;4;1;3;5;2;6;1;1;1;3;3;2;6;1;1;2;2;5;5;1;3;3;1;2;2;2;1;2;3;2;0;0;1;2;0;1;1;2;0;0;2;0;0;0;0;1;2;0;1;0;3;56;45;52;1;6;0;2;0;
320390805000034;5;190;0;9;3;3;3;2;4;10;9;2;6;3;6;7;2;5;1;8;5;4;6;5;6;6;5;3;8;4;1;0;4;3;3;4;3;3;1;2;0;5;0;0;2;2;3;1;4;2;0;0;0;1;1;2;1;0;1;0;1;0;1;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;51;40;70;1;3;0;6;1;
320390805000035;8;219;4;3;5;4;4;5;3;4;4;4;2;6;5;2;5;3;3;3;6;6;1;5;1;4;3;6;0;6;8;4;2;6;1;2;6;4;1;5;4;5;2;5;3;2;1;3;3;3;4;0;5;5;3;6;4;2;0;2;1;2;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;3;78;57;35;17;1;8;2;0;
320390805000036;8;351;1;1;4;10;6;8;4;3;9;5;4;10;6;7;11;7;10;6;8;6;4;4;12;14;2;11;4;4;4;6;5;5;5;5;4;7;5;5;10;4;7;4;7;7;4;5;7;7;7;3;5;3;4;6;0;3;3;1;2;1;1;1;0;2;2;2;2;2;0;0;2;0;0;1;0;4;117;98;97;2;3;3;8;0;
320390805000037;1;426;3;9;7;5;4;7;11;7;10;10;12;11;5;8;7;10;11;8;15;10;11;7;18;12;7;8;9;8;6;6;12;5;8;5;12;6;9;6;7;3;8;4;7;8;0;2;4;7;3;6;4;9;0;1;3;1;0;2;2;1;0;5;0;2;2;2;1;1;0;0;0;2;1;0;1;2;138;96;129;3;15;6;10;0;
320390805000038;1;558;1;5;9;9;16;11;7;24;21;12;22;11;12;17;18;8;20;14;15;16;9;19;13;13;18;13;8;10;14;7;12;5;8;7;8;10;10;6;4;5;10;4;8;7;4;7;1;6;4;6;1;4;2;4;1;4;1;1;2;2;1;1;0;3;0;1;1;1;0;0;1;0;0;0;1;2;175;120;184;2;19;3;14;1;
320390805000039;1;422;1;1;8;5;8;4;9;12;6;9;13;9;11;8;7;13;10;12;8;6;9;10;8;8;7;2;4;9;6;5;10;8;12;5;6;12;10;15;11;9;6;8;6;5;11;9;6;5;2;1;1;4;3;2;3;2;0;0;1;2;1;2;0;2;1;2;1;0;1;1;1;0;1;1;1;4;147;101;127;4;3;3;13;1;
320390805000040;1;377;2;3;3;5;5;10;4;6;6;6;10;2;5;12;7;6;7;5;6;6;1;5;11;8;14;7;6;8;8;8;11;9;2;11;11;5;7;7;6;9;8;6;3;7;2;3;4;7;4;3;3;7;5;3;2;3;2;1;0;1;2;6;2;2;0;1;2;3;0;2;2;1;0;4;2;4;131;90;91;16;9;10;10;0;
320390805000041;1;312;2;3;2;2;3;6;8;4;3;7;6;10;3;10;6;5;8;5;11;6;7;6;8;5;7;2;5;6;5;5;4;5;4;6;4;9;7;7;5;3;3;11;10;3;7;2;5;10;2;2;1;3;2;3;3;3;4;3;1;2;1;0;2;1;0;0;1;0;0;0;0;0;0;1;0;6;106;78;93;5;2;7;6;2;
320390805000042;1;347;0;5;5;12;8;4;5;6;5;8;10;7;12;11;10;5;8;13;9;2;8;7;3;2;10;13;2;10;8;4;7;11;4;8;2;12;11;7;5;2;4;6;7;1;7;1;1;5;3;3;1;3;2;1;2;4;1;2;1;0;0;0;0;0;0;1;0;0;2;0;2;2;0;1;1;2;106;66;113;4;16;5;6;1;
320390805000043;1;519;1;6;5;10;8;11;8;7;11;11;10;8;10;15;3;5;8;7;11;4;15;5;10;7;11;11;5;13;9;12;14;10;13;6;12;7;7;16;3;15;15;10;8;10;8;10;8;6;6;4;9;6;5;4;1;4;5;1;2;3;5;2;3;0;1;4;0;1;3;1;0;1;0;1;2;10;184;129;155;6;6;3;5;1;
320390805000044;1;376;5;5;5;3;4;12;6;3;7;12;6;12;9;11;9;8;6;8;10;7;6;6;7;6;6;3;3;1;7;5;7;8;5;4;4;9;10;7;6;12;8;8;4;5;5;6;6;2;6;3;6;4;3;2;1;2;2;1;1;3;1;3;2;1;1;1;1;0;3;2;0;1;1;1;0;10;125;92;112;3;5;3;10;0;
320390805000045;1;261;2;3;0;3;1;1;1;8;7;2;7;6;1;9;6;4;4;6;6;3;3;1;4;5;4;5;4;4;3;4;4;2;5;5;2;3;6;4;3;6;6;9;3;6;4;5;2;7;3;2;1;8;3;4;2;0;1;1;2;3;1;2;0;0;2;2;3;2;2;2;1;0;3;1;2;9;100;53;79;3;7;5;2;3;
320390805000046;1;585;0;6;9;22;16;18;16;8;9;17;13;7;14;15;6;14;13;16;10;15;11;10;16;15;13;11;14;10;23;12;15;15;12;15;13;13;4;5;7;4;8;9;8;7;8;3;6;2;7;2;9;3;2;3;7;4;2;1;1;0;0;2;0;1;0;1;1;1;0;0;1;1;1;0;2;0;191;130;164;3;13;8;20;0;
320390805000047;1;664;2;5;6;17;13;9;12;12;20;18;16;22;10;19;9;15;15;16;11;9;20;14;14;25;16;15;16;12;16;16;21;14;15;16;18;17;9;10;12;6;13;11;8;4;9;5;3;4;5;1;3;1;3;4;2;6;4;3;1;1;1;1;1;1;3;0;1;1;1;1;0;0;0;1;0;3;233;169;181;2;6;10;13;7;
320390805000048;1;397;4;5;12;4;2;7;5;10;6;18;5;11;16;7;6;11;11;11;9;7;9;6;5;5;9;4;14;4;8;3;11;5;5;4;8;6;2;5;6;8;7;7;3;6;2;5;7;8;4;5;5;4;3;3;3;3;4;2;2;1;3;0;1;2;2;1;2;2;0;1;2;0;0;0;0;3;136;82;133;1;5;2;8;3;
320390805000049;1;391;1;0;4;5;3;6;0;9;9;14;7;8;5;11;1;8;9;7;7;7;4;5;7;4;9;10;6;7;8;3;8;2;5;6;7;6;8;7;6;8;9;8;5;10;6;4;1;4;6;4;6;0;5;2;6;6;4;1;4;7;1;3;4;3;3;1;2;3;5;2;4;3;0;2;0;10;131;84;122;5;17;5;7;6;
320390805000050;1;462;1;5;3;8;9;10;11;10;10;11;9;10;11;8;13;5;12;12;9;10;7;10;10;8;15;11;10;9;9;11;6;7;10;12;3;9;5;8;8;8;4;12;2;8;6;8;8;3;4;8;3;6;2;3;5;3;5;0;5;1;2;1;1;1;0;1;0;1;0;0;1;1;0;1;0;3;154;106;149;1;11;7;5;3;
320390805000051;1;413;0;4;12;11;18;15;14;13;11;16;17;10;16;9;8;8;11;14;11;13;9;9;10;8;8;14;9;5;10;7;14;5;4;4;1;4;6;2;3;2;3;5;4;5;2;0;3;2;2;1;0;3;2;4;0;1;0;4;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;111;78;140;0;14;9;12;4;
320390805000052;1;380;2;4;5;7;9;7;11;9;14;10;16;14;7;11;8;11;12;11;4;14;4;10;6;13;6;10;6;4;6;7;5;5;8;8;7;2;6;3;5;6;0;2;6;6;2;5;4;3;2;7;3;5;1;0;1;2;3;1;0;1;1;0;2;1;0;1;3;2;0;0;0;0;1;0;1;1;115;86;122;1;10;6;13;0;
320390805000053;1;1133;6;13;20;27;36;30;32;30;34;32;25;32;28;22;40;23;31;31;28;28;18;26;26;37;34;28;23;25;18;25;33;15;22;23;20;13;11;10;15;13;10;16;12;10;2;11;6;4;2;9;6;6;9;7;5;6;1;2;3;3;1;4;3;2;3;2;0;0;0;1;0;2;0;1;0;1;328;282;349;6;19;5;32;8;
320390805000054;1;563;5;5;14;14;11;12;10;12;12;11;9;12;13;8;10;12;8;10;19;13;11;8;13;15;26;12;14;13;8;8;17;8;8;12;4;5;11;9;5;8;8;9;2;11;6;5;4;6;8;7;1;6;2;3;3;1;2;5;0;4;0;1;2;1;2;1;5;5;3;5;1;1;3;0;0;5;179;138;154;4;22;4;10;2;
320390805000055;1;500;4;4;8;6;7;7;6;15;14;12;14;12;11;15;9;8;8;7;11;13;12;9;10;10;5;7;9;9;8;11;7;10;11;12;9;4;4;15;8;11;8;8;12;6;4;7;6;6;8;4;7;2;4;5;2;0;4;3;3;3;0;2;3;3;1;0;0;2;2;2;1;0;0;1;1;8;181;123;134;5;10;4;7;0;
320390805000056;1;564;3;6;11;5;8;13;9;7;9;12;10;11;12;13;12;9;9;6;10;8;13;5;5;14;12;8;10;8;7;8;10;12;7;13;13;8;12;9;13;15;10;11;10;12;11;5;9;17;6;6;11;7;3;5;3;8;6;5;1;3;3;1;2;0;5;1;6;2;1;2;1;0;1;1;1;3;194;146;154;6;13;6;8;1;
320390805000057;1;676;3;6;9;10;10;15;11;13;12;7;17;12;13;10;18;15;13;20;15;24;12;12;11;9;13;16;12;14;19;13;9;5;9;13;13;11;10;5;11;4;12;11;9;6;8;13;12;7;6;9;7;14;5;6;9;5;3;0;4;7;2;4;6;4;1;7;4;4;3;0;0;0;8;0;0;6;209;144;226;6;22;4;14;0;
320390805000058;8;202;1;1;0;4;3;6;2;3;6;8;5;6;8;4;0;3;3;5;6;3;5;2;2;1;5;6;3;3;2;2;2;1;2;3;5;5;4;2;2;3;4;4;2;4;2;1;3;6;1;5;4;2;4;3;3;2;5;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;2;4;59;54;69;5;2;0;4;0;
