Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012
320010215000002;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010215;IBICABA;32001021500;IBICABA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;117;380;3,25;1,95;924,44;5910002,06;1175,65;7235050,67;454,16;2330747,75;879,43;4149808,48
320010215000003;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010215;IBICABA;32001021500;IBICABA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;145;490;3,38;2,01;509,03;1213365,03;677,15;1502924,57;368,16;911751,21;672,09;1462504,85
320010215000004;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010215;IBICABA;32001021500;IBICABA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;82;249;3,04;1,71;1632,99;5677766,58;1998,58;6226427,13;671,6;2781344,84;1514,68;5019639,21
320010228000001;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010228;MATA FRIA;32001022800;MATA FRIA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;254;883;3,48;2,51;513,35;474386,46;536,59;483428,66;316,68;231673,12;445,74;268633,31
320010228000002;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010228;MATA FRIA;32001022800;MATA FRIA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;150;524;3,49;2,95;587,27;1325049,53;607,52;1358670,18;279,92;533644,57;501,57;846306,23
320010230000001;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010230;PIRACEMA;32001023000;PIRACEMA;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;61;194;3,18;1,68;688,74;735337,86;688,74;735337,86;481,56;427181,59;601,02;461620,87
320010230000002;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010230;PIRACEMA;32001023000;PIRACEMA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;142;497;3,5;2,15;592,9;931864,09;633,02;969810,28;356,15;505852,93;533,57;663763,62
320010230000003;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010230;PIRACEMA;32001023000;PIRACEMA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;121;442;3,65;3;627,94;566520,44;703,53;581676,46;425,16;1499392,36;737,48;2374660,43
320010230000004;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010230;PIRACEMA;32001023000;PIRACEMA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;78;274;3,51;1,92;795,67;5102947,78;806;5161653,58;426,31;2346622,33;626,31;3328306,36
320010230000005;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010230;PIRACEMA;32001023000;PIRACEMA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;94;317;3,37;1,46;865,45;1789252,14;893,98;1823104,2;486,83;812466,04;666,18;993262,2
320010230000006;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010230;PIRACEMA;32001023000;PIRACEMA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;213;781;3,67;2,53;659,49;2916795,81;912,15;3809602,32;325,73;1094772,01;664,98;2012347,46
320010230000007;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010230;PIRACEMA;32001023000;PIRACEMA;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;146;533;3,65;2,85;676,55;903661,63;676,55;903661,63;335,87;448051,91;594,02;639869,08
320010235000001;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010235;PONTÕES;32001023500;PONTÕES;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;252;763;3,03;2,13;526,05;286604,77;697,71;260221,32;363,46;229721,41;610,76;235000,78
320010235000002;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010235;PONTÕES;32001023500;PONTÕES;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;106;368;3,47;1,87;703,61;440034,62;738,45;436057,35;356,74;285407,69;627,86;332361,13
320010235000003;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010235;PONTÕES;32001023500;PONTÕES;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;80;245;3,06;1,65;524,63;385394,06;559,6;391597,7;341;220267,79;447,99;241584,22
320010235000004;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010235;PONTÕES;32001023500;PONTÕES;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;146;483;3,31;1,81;830,39;1049625,72;836,12;1052093,23;413,81;501802,96;607,21;619293,79
320010237000001;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010237;SÃO FRANCISCO XAVIER DO GUANDU;32001023700;SÃO FRANCISCO XAVIER DO GUANDU;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;50;118;2,36;1,13;399,1;146730,3;570,14;111077,18;282,92;135356,13;555,55;113943,22
320010237000002;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010237;SÃO FRANCISCO XAVIER DO GUANDU;32001023700;SÃO FRANCISCO XAVIER DO GUANDU;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;201;637;3,17;1,93;672,63;1498388,34;768,18;1638629,57;428,75;876279,49;671,15;1209942,71
320010239000001;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010239;SÃO LUÍS DE BOA SORTE;32001023900;SÃO LUÍS DE BOA SORTE;3200102000;AFONSO CLÁUDIO (todos os setores);1;0;23;88;3,83;3,33;561,96;181174,41;587,5;174080,36;321,83;150030,66;548,57;130916,48
320010239000002;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010239;SÃO LUÍS DE BOA SORTE;32001023900;SÃO LUÍS DE BOA SORTE;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;76;249;3,28;2,52;501,71;156912,85;515,27;154129,19;355,38;170221,06;453,27;172753,28
320010239000003;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010239;SÃO LUÍS DE BOA SORTE;32001023900;SÃO LUÍS DE BOA SORTE;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;184;638;3,47;1,98;378,38;159700,06;467,26;155656,72;238,47;105859,57;397,21;113295,44
320010239000004;3;Região Sudeste;ES;Espírito Santo;3203;Central Espírito-Santense;32007;Afonso Cláudio;0;Municípios não pertencentes a estrutura de RM;3200102;AFONSO CLÁUDIO;320010239;SÃO LUÍS DE BOA SORTE;32001023900;SÃO LUÍS DE BOA SORTE;3200102000;AFONSO CLÁUDIO (todos os setores);8;0;150;459;3,06;1,65;513,51;118140,52;531,22;112770,78;370,57;163646,06;491,7;157559,17
