Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132
120040105000206;1;1200;1200;1199;0;1;981;42;125;2;43;7;975;126;0;99;1169;481;28;257;132;54;217;31;823;577;191;46;9;377;1189;1187;2;3;0;6;2;0;1190;1186;4;10;875;49;262;589;589;589;0;0;482;20;61;2;19;5;483;62;0;44;574;239;12;121;73;27;102;15;392;272;93;24;3;197;582;580;2;2;0;4;1;0;582;579;3;7;420;25;134;611;611;610;0;1;499;22;64;0;24;2;492;64;0;55;595;242;16;136;59;27;115;16;431;305;98;22;6;180;607;607;0;1;0;2;1;0;608;607;1;3;455;24;128
120040105000207;1;785;785;753;0;32;642;5;73;0;62;3;209;471;0;105;780;145;237;305;31;0;62;5;688;575;113;0;0;97;772;766;6;13;0;0;0;0;785;785;0;0;690;58;37;397;397;380;0;17;323;2;36;0;34;2;98;243;0;56;396;75;116;158;15;0;32;1;345;289;56;0;0;52;391;388;3;6;0;0;0;0;397;397;0;0;346;31;20;388;388;373;0;15;319;3;37;0;28;1;111;228;0;49;384;70;121;147;16;0;30;4;343;286;57;0;0;45;381;378;3;7;0;0;0;0;388;388;0;0;344;27;17
120040105000208;1;821;821;794;0;27;684;0;96;0;41;0;772;44;0;5;815;334;292;131;35;0;23;6;696;620;76;0;0;125;817;817;0;0;0;0;0;4;819;819;0;2;617;30;172;403;403;389;0;14;333;0;47;0;23;0;382;19;0;2;401;161;141;70;17;0;12;2;336;305;31;0;0;67;402;402;0;0;0;0;0;1;402;402;0;1;291;17;94;418;418;405;0;13;351;0;49;0;18;0;390;25;0;3;414;173;151;61;18;0;11;4;360;315;45;0;0;58;415;415;0;0;0;0;0;3;417;417;0;1;326;13;78
120040105000209;1;917;917;912;0;5;779;0;101;0;37;0;757;135;0;25;916;91;450;370;0;0;5;1;555;543;12;0;0;362;917;917;0;0;0;0;0;0;917;917;0;0;630;145;142;447;447;444;0;3;382;0;46;0;19;0;374;63;0;10;446;44;225;175;0;0;2;1;279;273;6;0;0;168;447;447;0;0;0;0;0;0;447;447;0;0;318;65;64;470;470;468;0;2;397;0;55;0;18;0;383;72;0;15;470;47;225;195;0;0;3;0;276;270;6;0;0;194;470;470;0;0;0;0;0;0;470;470;0;0;312;80;78
120040105000210;1;925;921;913;0;8;822;5;41;3;48;2;398;464;0;59;914;11;434;408;39;0;22;7;720;646;71;3;0;201;917;914;3;0;0;4;0;0;915;915;0;6;718;104;93;463;460;457;0;3;407;3;18;1;29;2;194;239;0;27;456;4;214;210;17;0;11;4;348;308;38;2;0;112;458;457;1;0;0;2;0;0;457;457;0;3;359;48;50;462;461;456;0;5;415;2;23;2;19;0;204;225;0;32;458;7;220;198;22;0;11;3;372;338;33;1;0;89;459;457;2;0;0;2;0;0;458;458;0;3;359;56;43
120040105000211;1;1225;1225;1183;3;33;1095;0;83;5;42;0;842;302;0;81;1225;121;4;1076;0;0;24;0;750;648;78;21;3;475;1217;1215;2;8;0;0;0;0;1223;1218;5;2;946;71;201;589;589;567;2;17;523;0;46;2;18;0;394;154;0;41;589;56;2;521;0;0;10;0;362;319;35;8;0;227;586;585;1;3;0;0;0;0;587;585;2;2;451;41;93;636;636;616;1;16;572;0;37;3;24;0;448;148;0;40;636;65;2;555;0;0;14;0;388;329;43;13;3;248;631;630;1;5;0;0;0;0;636;633;3;0;495;30;108
120040105000212;1;1276;1276;1266;0;10;995;0;153;0;113;15;1040;227;0;9;1272;226;0;568;64;9;405;4;866;771;81;0;14;410;1276;1276;0;0;0;0;0;0;1276;1276;0;0;888;66;322;622;622;616;0;6;479;0;79;0;56;8;502;115;0;5;619;100;0;277;29;5;208;3;416;368;39;0;9;206;622;622;0;0;0;0;0;0;622;622;0;0;428;33;161;654;654;650;0;4;516;0;74;0;57;7;538;112;0;4;653;126;0;291;35;4;197;1;450;403;42;0;5;204;654;654;0;0;0;0;0;0;654;654;0;0;460;33;161
120040105000213;1;1007;1007;961;0;42;827;3;74;4;99;0;786;221;0;0;1004;159;1;837;7;0;0;3;653;570;82;1;0;354;1007;1007;0;0;0;0;0;0;1007;1007;0;0;816;121;70;481;481;461;0;18;395;1;36;2;47;0;373;108;0;0;480;73;1;402;4;0;0;1;305;271;33;1;0;176;481;481;0;0;0;0;0;0;481;481;0;0;384;56;41;526;526;500;0;24;432;2;38;2;52;0;413;113;0;0;524;86;0;435;3;0;0;2;348;299;49;0;0;178;526;526;0;0;0;0;0;0;526;526;0;0;432;65;29
120040105000214;1;1102;1102;1046;0;56;894;0;168;0;40;0;851;211;0;40;1083;132;21;758;128;0;44;19;1033;914;92;18;9;69;1101;1101;0;1;0;0;0;0;1098;1098;0;4;845;64;189;537;537;507;0;30;438;0;82;0;17;0;411;107;0;19;529;68;9;368;68;0;16;8;501;444;45;7;5;36;536;536;0;1;0;0;0;0;535;535;0;2;401;35;99;565;565;539;0;26;456;0;86;0;23;0;440;104;0;21;554;64;12;390;60;0;28;11;532;470;47;11;4;33;565;565;0;0;0;0;0;0;563;563;0;2;444;29;90
120040105000215;1;1278;1278;1120;8;150;870;73;269;0;66;0;1058;87;0;133;1255;601;0;433;0;0;221;23;846;625;161;48;12;432;1233;1233;0;45;0;0;0;0;1278;1278;0;0;985;75;218;614;614;532;3;79;420;33;135;0;26;0;503;42;0;69;605;277;0;220;0;0;108;9;398;295;74;22;7;216;587;587;0;27;0;0;0;0;614;614;0;0;467;38;109;664;664;588;5;71;450;40;134;0;40;0;555;45;0;64;650;324;0;213;0;0;113;14;448;330;87;26;5;216;646;646;0;18;0;0;0;0;664;664;0;0;518;37;109
