Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
110002305000059;1;915;7;10;8;13;17;16;18;23;24;11;20;18;22;24;20;29;34;23;22;21;20;20;28;16;18;18;20;21;22;13;13;16;14;17;13;20;11;19;17;13;17;13;9;13;6;10;8;9;8;4;15;8;7;9;3;5;4;7;6;1;1;2;4;7;0;2;1;1;0;2;1;1;0;1;1;0;321;216;261;3;14;17;17;6;
110002305000060;1;862;3;8;13;16;17;15;15;20;19;15;24;30;23;19;19;19;21;17;22;22;16;27;18;28;22;21;24;15;22;7;16;11;17;10;12;18;15;11;14;13;17;9;13;14;10;11;10;6;7;6;5;6;3;4;3;1;2;5;3;3;7;1;2;2;0;0;2;2;3;3;3;0;0;1;0;4;304;179;171;61;14;41;34;1;
110002305000061;1;686;2;6;10;10;12;19;16;14;24;21;19;19;13;16;14;18;15;11;10;14;9;17;16;15;24;16;8;16;27;20;19;12;13;13;13;12;17;9;10;8;10;9;6;6;4;3;6;4;4;9;4;5;3;4;2;4;3;3;1;0;3;0;2;4;1;3;0;1;0;1;0;0;0;0;1;3;233;147;185;26;15;23;13;1;
110002305000062;1;646;0;3;10;18;16;13;19;11;20;21;18;9;19;19;25;29;11;14;23;20;10;21;17;18;14;19;11;15;15;11;16;9;11;9;13;8;12;7;10;11;8;4;2;6;4;1;2;7;4;2;2;4;5;4;1;0;0;2;2;1;3;1;0;0;0;1;1;1;0;0;2;0;0;0;1;0;222;151;182;7;5;12;11;0;
110002305000063;1;941;10;14;21;26;27;18;21;17;22;29;31;29;25;32;20;27;24;14;27;22;25;12;18;24;20;20;22;15;16;16;20;15;22;14;23;16;10;20;8;10;9;13;11;13;9;8;4;5;6;8;7;5;1;4;2;2;3;2;1;4;2;0;4;0;1;2;1;1;0;0;1;1;0;1;0;8;293;189;284;16;11;12;27;2;
110002305000064;1;735;5;7;15;24;21;16;28;25;27;24;24;15;16;19;17;15;24;13;18;23;16;18;20;16;15;17;17;14;12;8;20;16;11;9;11;6;10;6;9;7;5;7;7;2;5;9;9;7;3;1;5;5;3;0;1;4;3;6;3;0;3;1;0;0;1;2;0;0;0;1;1;0;0;2;1;4;220;150;225;11;18;12;26;0;
110002305000065;1;1098;11;15;24;42;33;31;32;29;33;43;29;42;26;35;24;27;30;21;25;18;26;22;27;24;21;28;19;13;19;18;27;21;18;17;16;23;19;14;12;10;9;14;15;5;13;6;4;6;5;5;3;5;6;8;2;4;5;4;3;3;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;306;209;353;10;36;15;30;2;
110002305000066;1;606;4;4;6;11;14;17;19;22;13;18;21;14;17;12;10;11;15;19;9;20;17;9;10;24;14;22;15;13;8;15;11;9;11;13;8;23;13;7;11;8;4;6;4;2;2;4;4;2;4;5;3;6;1;1;4;0;1;0;0;3;0;2;1;1;1;2;1;0;0;0;0;0;2;1;0;2;188;137;184;7;21;10;18;0;
110002305000067;1;795;6;6;11;5;15;17;14;18;19;17;20;23;20;31;25;16;24;19;22;23;12;25;17;15;17;10;16;18;18;18;14;12;8;9;12;12;14;12;6;8;11;8;18;13;9;5;5;6;9;8;9;4;4;4;6;9;0;8;4;4;5;1;2;2;3;0;1;2;1;1;0;3;0;1;0;5;254;154;250;12;24;24;33;0;
110002305000068;1;451;2;3;17;10;12;10;10;7;14;14;13;15;11;10;17;8;12;10;18;16;11;5;12;13;9;5;11;6;12;12;11;5;6;7;9;7;2;8;2;9;8;3;6;2;5;5;3;3;1;1;2;0;4;1;3;3;1;1;0;1;0;0;1;0;0;1;1;1;2;0;0;0;0;0;0;1;140;86;146;2;7;8;13;4;
110002305000069;1;955;3;10;24;28;21;30;17;38;34;33;29;31;20;21;26;14;17;28;28;17;22;18;18;28;16;19;27;14;19;17;21;18;14;16;20;15;15;16;20;13;11;17;9;10;6;8;9;4;6;5;5;5;3;3;5;0;2;0;2;1;1;3;1;1;1;0;0;0;0;0;1;0;0;0;0;1;279;196;307;4;13;25;36;3;
110002305000070;1;491;5;9;5;7;5;10;13;6;10;11;7;9;11;15;9;15;15;5;10;8;11;8;8;13;7;10;8;9;5;6;5;7;7;8;7;7;4;12;11;12;8;9;9;2;9;13;6;6;13;11;7;5;4;1;3;3;2;0;3;4;0;3;1;0;4;4;0;1;2;1;0;1;0;1;1;4;163;111;134;9;11;6;25;1;
110002305000071;1;295;2;1;5;8;6;6;14;7;9;11;7;4;10;5;9;6;7;6;4;1;6;9;2;7;8;7;5;6;5;6;2;2;7;4;6;4;7;5;0;6;1;2;4;4;2;6;3;3;1;2;3;2;4;3;2;0;4;2;1;0;1;1;1;2;1;1;1;0;0;0;1;0;1;1;1;2;92;75;90;2;5;1;7;0;
110002305000072;1;587;6;8;8;11;14;21;15;8;11;9;17;14;16;12;9;15;19;11;15;18;9;14;11;14;9;12;14;14;12;12;15;15;10;4;13;12;5;13;13;9;5;6;11;7;8;3;7;7;5;3;1;5;5;5;0;3;1;4;2;2;1;2;0;0;1;1;0;0;2;3;0;0;0;0;0;0;211;139;142;5;7;7;20;1;
110002305000073;1;952;6;12;25;26;24;31;28;21;28;33;23;25;27;16;20;22;17;12;21;28;22;16;17;21;24;32;28;19;23;19;21;11;21;15;14;19;22;11;9;11;12;12;12;7;8;9;3;10;3;4;4;9;6;3;3;4;2;2;2;0;2;0;0;0;4;1;3;0;0;2;1;1;2;0;0;1;303;204;279;5;14;15;35;3;
110002305000074;1;764;6;8;12;23;15;12;16;12;18;13;15;28;29;14;22;15;18;13;20;22;19;16;13;17;9;11;14;13;8;16;10;13;12;14;15;13;21;9;17;10;10;13;7;8;13;10;9;2;7;6;10;6;6;6;3;2;1;4;1;4;4;4;3;1;0;3;1;2;0;3;2;2;3;1;2;4;252;169;192;6;9;11;22;4;
110002305000075;1;517;0;3;9;8;15;16;16;19;13;14;9;12;13;15;15;9;13;14;7;13;19;10;11;15;9;8;15;9;11;14;16;9;11;10;7;10;5;9;11;14;4;7;9;4;4;7;3;4;2;1;2;1;0;1;0;3;0;1;2;0;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;1;156;104;174;9;4;15;17;1;
110002305000076;1;624;0;4;9;15;21;24;17;15;11;16;13;12;12;16;12;18;15;19;22;18;11;14;11;17;11;14;17;19;14;12;11;19;10;4;17;17;9;15;8;11;10;5;6;1;6;3;3;4;3;0;3;2;3;4;2;1;4;1;1;3;0;1;1;0;0;2;2;1;0;1;1;0;0;0;0;0;200;150;168;3;20;9;22;2;
110002305000077;1;1142;9;11;23;29;31;47;33;32;37;28;29;44;31;27;31;20;27;24;12;29;24;24;33;30;23;29;22;26;15;26;22;16;17;19;19;21;14;21;11;13;14;8;15;6;13;14;6;9;10;5;3;4;5;2;6;5;2;1;1;4;2;3;1;5;2;0;1;4;2;1;1;1;4;2;0;1;349;259;346;17;10;17;35;5;
110002305000078;1;1270;9;18;29;30;37;21;32;31;34;27;19;22;19;32;31;31;28;33;22;35;35;29;39;38;30;36;31;29;33;26;26;26;24;20;17;22;22;16;21;16;16;14;9;6;17;12;11;16;5;8;10;12;2;2;5;9;1;2;5;2;2;2;3;3;4;0;0;3;2;1;1;2;0;1;1;5;402;309;328;24;16;21;39;8;
110002305000079;1;744;3;12;13;25;30;25;20;18;25;21;28;21;26;17;16;21;18;20;22;25;20;16;18;15;13;16;19;22;10;13;11;14;7;10;10;12;5;14;2;14;7;7;3;5;6;7;3;6;4;4;3;0;2;0;2;3;3;0;3;1;0;1;0;2;0;0;0;1;2;1;0;0;0;0;1;0;211;142;248;4;13;10;29;0;
110002305000080;1;908;2;4;17;28;29;26;34;28;34;31;26;30;29;25;22;21;23;28;20;24;17;19;20;27;18;23;14;18;14;16;19;19;16;16;11;15;9;22;6;9;10;9;5;4;5;5;0;4;4;5;3;3;2;3;0;2;2;2;5;3;2;3;2;3;1;0;2;2;1;0;1;0;1;2;1;2;282;201;285;5;16;8;23;5;
110002305000081;8;180;1;2;0;9;4;7;6;8;8;6;5;9;7;5;3;1;6;2;6;3;4;4;5;1;3;2;3;1;5;2;3;3;3;4;5;4;1;1;1;0;4;2;1;2;0;1;1;0;3;1;1;1;2;0;2;1;2;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;50;41;69;0;1;1;2;0;
110002305000082;8;1283;13;20;19;27;30;41;29;41;36;43;38;36;25;26;27;24;32;29;17;32;30;29;31;26;23;24;17;29;21;22;20;28;24;26;22;20;16;16;16;24;16;16;15;25;22;11;13;16;12;8;10;11;9;4;9;7;3;8;1;3;4;3;1;1;1;0;1;0;0;1;0;0;1;1;0;1;480;310;304;4;6;11;34;24;
