"Cod_bairro","Nome_do_bairro","ipc","compEntorno","compPessoas","compDomRenda","compDomiciliosMulher","comp5maisdomicilio","compbanheiro","compagua","compUBS"
3304557051,"Engenho Novo",0.69005560733893,0.73224402820607,0.538865427513691,0.225882352941176,0.270138219223159,0.174248413853036,0.199699726834076,0.199226872668741,0.3
3304557052,"Lins de Vasconcelos",0.681802933448423,0.724315135246924,0.536008809478048,0.231111111111111,0.276123513557711,0.173540159513393,0.199388999615429,0.181044585380365,0.1
3304557053,"Méier",0.829389500843642,0.959684536395889,0.637949491760386,0.303703703703704,0.275113220290444,0.188014290810953,0.199471773295043,0.199344706564952,0.1
3304557054,"Todos os Santos",0.844427894703684,0.988475510685987,0.654932498236164,0.300540540540541,0.287423797472382,0.189711778076208,0.199835587803456,0.199787768768698,0
3304557055,"Cachambi",0.800224115238944,0.929376376767248,0.624705737561724,0.264,0.291471983205013,0.184910865123323,0.198960267744269,0.198719098520266,0
3304557056,"Engenho de Dentro",0.742748233084807,0.863271436011151,0.564979205685328,0.227777777777778,0.270974785927229,0.178259040752068,0.199632158843768,0.194325080184329,0.1
3304557057,"Água Santa",0.701895248207347,0.735961435957449,0.563787309118225,0.229090909090909,0.285934621702278,0.177708113535947,0.19997154645042,0.199166430469093,0
3304557058,"Encantado",0.74108174084952,0.874366754988065,0.556479713666347,0.216666666666667,0.272307724381726,0.176980185915874,0.199543333298914,0.199208568012692,0
3304557059,"Piedade",0.726772932084541,0.83076347220958,0.561123189759328,0.213134328358209,0.287071997869455,0.179561079679266,0.199385882866665,0.196350843380576,0
3304557060,"Abolição",0.802439409994303,0.979545554477749,0.597889671729458,0.247058823529412,0.284579285460405,0.182872528352657,0.199951651893634,0.2,0
3304557061,"Pilares",0.706574748083397,0.869042261138185,0.493115357885583,0.182439024390244,0.253889392396984,0.17563924576628,0.19996730530308,0.199521049766819,0.3
3304557062,"Vila Kosmos",0.740247719305876,0.879471091541605,0.542658798777562,0.226666666666667,0.274724630583105,0.172612189221225,0.199893917963225,0.199440493747345,0.1
3304557063,"Vicente de Carvalho",0.617882688923873,0.627417989682907,0.479011148061284,0.174736842105263,0.271401288602462,0.173031805025314,0.199927065761232,0.199523216135618,0
3304557064,"Vila da Penha",0.820308941148204,0.969509540780948,0.624261931845039,0.279024390243902,0.291788916359642,0.188766715340106,0.199976549364248,0.199387695870369,0
3304557065,"Vista Alegre",0.814837337514992,0.997681022227002,0.620456460552393,0.243076923076923,0.300231978363176,0.183748748065376,0.2,0.199548858623282,0
3304557066,"Irajá",0.743208941746966,0.899430625100936,0.539780052335495,0.211586206896552,0.277238613555601,0.179590567524015,0.199761967177407,0.199477406206492,0.3
3304557067,"Colégio",0.593428282886281,0.534060271864597,0.509856871659076,0.164878048780488,0.297236750970208,0.171974178196267,0.199904022747576,0.19961145541084,0.1
3304557068,"Campinho",0.715049369151779,0.795878703922314,0.538591428549151,0.242222222222222,0.263257044642269,0.177406477844092,0.199583906528725,0.191465368388832,0
3304557069,"Quintino Bocaiúva",0.716764434800428,0.839806544597306,0.534404626103053,0.203333333333333,0.264389960841916,0.175843966402071,0.199412998563516,0.197491835402006,0.1
3304557070,"Cavalcanti",0.67430881589206,0.779164050140986,0.520237660116957,0.16,0.30253959708834,0.166394690178832,0.199895330696323,0.197234716543084,0
3304557071,"Engenheiro Leal",0.643879059861012,0.678730009099385,0.502426195508914,0.182222222222222,0.313763011220597,0.169458643874152,0.199758890898131,0.199041217980231,0
3304557072,"Cascadura",0.652179550880577,0.690781707983086,0.505898848652363,0.195714285714286,0.270417985399305,0.171038326177527,0.199091239295324,0.194014244819145,0.1
3304557073,"Madureira",0.657263782255273,0.703991347868331,0.498720418704066,0.198072289156627,0.277399166292095,0.17467886191512,0.199615498801481,0.196712930320194,0.3
3304557074,"Vaz Lobo",0.669805301983287,0.758894901647283,0.502583444945159,0.184,0.284103491349752,0.165673416208867,0.199706891494675,0.198557251653876,0
3304557075,"Turiaçu",0.633251311468531,0.687115778569298,0.46836036434318,0.178461538461538,0.266083248844615,0.16639166182077,0.199960195360195,0.199464395850613,0
3304557076,"Rocha Miranda",0.71793088923843,0.89500952582912,0.491992690374455,0.194576271186441,0.270917331713973,0.175523877192993,0.199745944833535,0.196944358298748,0.1
3304557077,"Honório Gurgel",0.639784756723997,0.683244806322787,0.489468592986596,0.174545454545455,0.278052114325873,0.17294533446308,0.199698877478278,0.199451204375795,0
3304557078,"Oswaldo Cruz",0.708765242355027,0.859040632843825,0.487530257451088,0.20271186440678,0.261724677252712,0.178973597313987,0.199932355217438,0.198107019831963,0
3304557079,"Bento Ribeiro",0.73618427927809,0.895568451646044,0.527979770295725,0.20969696969697,0.276757874354002,0.175854562589658,0.199893422460023,0.199559661145852,0
3304557080,"Marechal Hermes",0.645365153277817,0.688018271536492,0.493367080219173,0.182784810126582,0.272169201416584,0.172469775056051,0.199856509278984,0.199599013616167,0.3
3304557081,"Jacarepaguá",0.586086264186544,0.499147290755688,0.522033096771253,0.18051724137931,0.295111610574897,0.173901290571034,0.198746978644787,0.183912894437559,1
3304557082,"Anil",0.757426511696303,0.816465222509058,0.612806336648227,0.266206896551724,0.295233379494779,0.179515632651215,0.199823570286596,0.197461876442088,0.1
3304557083,"Gardênia Azul",0.626902895451544,0.669103629534208,0.464054884594875,0.172,0.272992545471147,0.176992714098609,0.199950909378207,0.198606548748733,0.1
3304557084,"Cidade de Deus",0.602069872791275,0.732873624033982,0.379181984851256,0.136,0.245461586756905,0.159188639954517,0.199748726015497,0.199216643518574,0.1
3304557085,"Curicica",0.701098955977501,0.832420197968602,0.513522049939835,0.187878787878788,0.280836285999543,0.173047650865264,0.199887558941845,0.196540622338171,0
3304557086,"Freguesia (Jacarepaguá)",0.769134730510427,0.848195653106335,0.596923537707041,0.28954128440367,0.282355848408593,0.180613038527564,0.198942527498489,0.193188150288182,0
3304557087,"Pechincha",0.772514793209253,0.862009967553446,0.594256661006003,0.276153846153846,0.270901941396007,0.185660738463313,0.199984911054169,0.199478255396983,0
3304557088,"Taquara",0.737322038224301,0.859251937006621,0.551727448612034,0.227826086956522,0.281972519497953,0.176873170955589,0.199066734378505,0.197220736763631,0
3304557089,"Tanque",0.680029609146378,0.743005345125398,0.531719517019022,0.200754716981132,0.290872348021583,0.17268311708332,0.197962142588878,0.193963988641384,0.1
3304557090,"Praça Seca",0.637548518440666,0.630884290539021,0.516717117757358,0.199565217391304,0.272168868588757,0.173008989649784,0.197838612490872,0.194631327493657,0.1
3304557091,"Vila Valqueire",0.77115423509909,0.854603022812772,0.619991940338267,0.26046511627907,0.303900708354207,0.179565241836795,0.199675241694939,0.199162142335426,0
3304557092,"Deodoro",0.628193687058739,0.667977169580976,0.491042215120163,0.157333333333333,0.30098953033465,0.168759492675191,0.199932145886344,0.19953670458021,0
3304557093,"Vila Militar",0.744861432320945,0.874694544350517,0.5506904123269,0.234285714285714,0.3252773049868,0.1771878164436,0.198971180198698,0.198754629357405,0
3304557094,"Campo dos Afonsos",0.929851439305166,1,0.870143250253453,0.34,0.470951666205843,0.179411067662045,0.2,0.2,0
3304557095,"Jardim Sulacap",0.772966542962364,0.838374747225486,0.644357041994423,0.26,0.325887588641774,0.182555201140133,0.199658277858933,0.193954360668117,0.1
3304557096,"Magalhães Bastos",0.671921526944857,0.770726811079116,0.495387119234469,0.177931034482759,0.286683350463275,0.172292990639637,0.19993643129343,0.199490194105159,0.1
3304557097,"Realengo",0.695522525618471,0.849657053546199,0.48778670651747,0.178358208955224,0.277752480511414,0.17350252459528,0.19948508400013,0.19777799924111,1
3304557098,"Padre Miguel",0.709562444102698,0.877896397116844,0.49262099444451,0.184719101123596,0.27730291773194,0.174939941997673,0.199957460120441,0.198553437505032,0.3
3304557099,"Bangu",0.679280348149332,0.836731071794625,0.465233786108174,0.167455621301775,0.269891919281463,0.170796577102164,0.199675032624132,0.197948955517126,1
3304557100,"Senador Camará",0.646250136002252,0.756625752494949,0.467225800452985,0.14379746835443,0.281226969929977,0.172583592305798,0.199712368232149,0.198805426166444,1
3304557101,"Santíssimo",0.666172643324836,0.759974153770185,0.507795334680954,0.163508771929825,0.297769445476344,0.174230632418831,0.199633295570069,0.193375741604645,0.3
3304557102,"Campo Grande",0.689154367177304,0.799222113966328,0.512671013474312,0.186581740976645,0.29127134618136,0.17357473226839,0.199615333198556,0.195798167647681,1
