Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;
260790120000004;1;1132;4;9;13;21;12;17;20;16;20;22;25;4;19;17;27;21;19;29;21;19;33;26;24;29;31;23;24;21;23;21;24;24;21;21;23;21;20;16;13;17;25;9;10;9;12;17;19;12;11;13;18;12;8;14;10;14;14;10;8;11;6;8;5;5;5;4;4;2;3;2;3;3;4;1;2;9;349;231;361;9;31;11;29;4;
260790120000005;1;1005;15;11;11;10;10;15;17;17;9;9;13;13;20;14;21;19;25;23;22;28;32;14;18;25;17;30;16;19;15;14;19;12;16;8;13;10;20;17;8;15;19;17;13;13;10;17;7;11;15;8;19;6;16;14;10;14;9;15;16;11;8;5;8;7;3;10;1;5;3;3;5;2;2;2;1;20;296;178;278;21;49;17;45;62;
260790120000006;1;1044;2;6;7;21;14;22;25;15;23;27;27;28;33;29;20;26;36;21;22;19;24;27;26;26;19;31;20;15;21;21;11;20;25;19;11;25;19;19;13;22;17;20;15;16;9;11;14;5;10;11;6;8;6;4;5;9;5;3;3;3;2;1;6;0;1;2;2;1;2;0;1;1;1;1;0;6;346;227;325;23;22;22;26;2;
260790120000007;1;915;6;12;19;22;16;21;21;21;27;25;25;22;26;24;19;20;17;26;24;19;26;19;21;17;23;14;14;12;22;18;12;14;20;21;13;16;11;8;8;14;13;10;9;16;6;12;9;9;12;10;12;4;10;5;4;1;5;8;0;2;3;2;2;2;3;2;3;1;1;0;1;0;1;1;0;1;277;170;269;27;30;27;37;3;
260790120000008;1;954;10;12;7;9;12;15;15;19;16;8;12;13;11;10;23;17;9;16;19;21;18;15;24;24;13;23;13;19;10;19;12;20;15;16;8;16;16;16;11;18;19;21;11;10;21;14;11;17;15;11;16;10;11;12;11;12;12;12;5;9;7;10;6;5;7;7;4;5;3;2;7;5;4;7;2;13;309;181;296;8;56;14;37;0;
260790120000009;1;888;13;10;11;10;11;18;7;10;8;14;11;11;9;15;23;14;9;11;18;21;15;19;13;13;16;13;6;11;12;19;20;16;11;14;22;20;9;13;10;7;15;13;15;14;16;9;15;19;12;12;8;18;12;9;16;18;8;15;8;10;11;8;6;6;5;8;4;9;3;3;4;4;1;4;5;12;275;173;268;10;49;17;36;0;
260790120000010;1;650;11;10;8;14;15;7;5;13;9;7;9;16;14;11;14;13;16;21;13;20;11;20;19;18;15;22;8;14;8;14;13;14;14;9;9;11;10;10;10;7;11;10;6;14;13;6;9;6;6;3;5;7;5;2;3;7;2;2;4;3;2;1;0;2;2;1;1;2;1;3;0;0;0;1;2;6;230;143;167;7;17;3;25;0;
260790120000011;1;601;9;6;12;11;6;7;13;5;11;9;9;11;11;13;8;15;9;17;15;10;13;12;12;15;15;19;13;14;10;8;7;10;9;6;13;12;8;6;7;8;3;9;7;11;11;16;11;14;6;6;5;5;8;7;5;9;5;1;5;6;3;2;5;1;2;3;0;2;3;2;0;0;0;1;0;3;203;133;173;5;11;10;22;0;
260790120000012;1;830;4;6;6;8;14;11;8;16;13;17;14;13;16;10;14;15;20;21;20;22;15;14;21;16;25;16;17;18;16;18;18;9;8;8;12;11;24;18;11;22;17;18;16;12;12;19;14;17;11;13;9;6;8;9;5;8;7;7;5;4;5;4;4;0;1;1;1;2;0;3;2;2;0;0;0;3;311;194;249;6;10;6;13;2;
260790120000013;1;1295;15;14;17;19;10;22;17;23;13;21;24;23;15;23;17;21;24;20;24;14;25;22;16;25;25;23;26;17;18;22;21;25;24;26;24;22;33;23;12;17;16;22;24;16;15;11;16;23;15;25;16;14;26;11;28;17;12;14;10;12;12;11;15;10;10;2;8;7;5;7;6;5;4;4;4;20;407;257;394;23;63;18;56;1;
